no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,mean_rh,mean_sunshine_hrs,asian_civilisations_museum,national_museum_of_singapore,science_centre_singapore,jurong_birdpark,night_safari,river_wonders,singapore_zoological_gardens,sun_yat_sen_nanyang_memorial_hall,indian_heritage_centre
11,84.7,35.4,81.5,4.5,0,29,33,0,0,0,87,0,0
21,322.2,178.3,88.4,4.5,0,39,103,0,0,0,139,0,0
18,425.4,133.8,85.5,5.3,0,19,58,0,0,0,144,0,0
21,349.4,108.3,86.2,5.0,0,13,32,0,0,0,93,0,0
16,334.0,159.3,87.5,4.9,0,11,51,0,0,0,86,0,0
10,67.7,31.1,83.9,5.9,0,14,32,0,0,0,128,0,0
16,242.3,73.6,85.3,5.6,0,14,28,0,0,0,98,0,0
11,84.4,32.8,83.7,6.0,0,15,49,0,0,0,148,0,0
12,63.7,45.0,81.9,6.6,0,19,36,0,0,0,132,0,0
13,173.6,52.3,82.6,5.2,0,20,30,0,0,0,118,0,0
21,211.6,37.9,85.6,4.1,0,29,37,0,0,0,137,0,0
7,29.5,5.7,81.6,5.8,0,24,29,0,0,0,127,0,0
12,101.1,37.1,82.8,4.7,0,33,39,0,0,0,106,0,0
20,372.8,198.6,86.8,3.7,0,56,123,0,0,0,136,0,0
20,302.5,55.6,86.6,3.1,0,46,58,0,0,0,129,0,0
10,173.2,39.0,84.2,5.2,0,24,36,0,0,0,76,0,0
11,180.2,53.0,84.6,5.8,0,30,31,0,0,0,122,0,0
8,129.7,61.8,81.0,7.7,0,22,37,0,0,0,113,0,0
15,178.2,55.7,85.5,5.4,0,15,24,0,0,0,109,0,0
15,107.5,18.6,83.7,7.0,0,21,52,0,0,0,146,0,0
15,265.8,94.3,84.3,5.9,0,18,35,0,0,0,161,0,0
10,162.3,55.3,81.9,6.7,0,13,34,0,0,0,116,0,0
18,258.4,64.6,83.4,5.0,0,18,42,0,0,0,118,0,0
18,297.0,66.5,82.2,4.8,0,14,26,0,0,0,105,0,0
19,300.0,45.8,83.0,4.3,0,23,36,0,0,0,92,0,0
16,180.2,60.5,83.5,4.4,0,36,41,0,0,0,185,0,0
15,185.5,72.4,82.9,4.5,0,18,34,0,0,0,165,0,0
3,15.4,13.9,77.3,7.7,0,17,15,0,0,0,84,0,0
8,105.4,35.7,80.8,4.9,0,18,24,0,0,0,130,0,0
10,34.3,17.4,79.6,7.0,0,25,160,0,0,0,141,0,0
12,118.4,44.6,82.7,5.6,4,23,40,0,0,0,99,0,0
6,41.6,35.6,77.7,6.7,9,22,63,0,0,0,143,0,0
12,78.9,25.0,76.7,7.3,9,24,43,0,0,0,150,0,0
9,18.6,5.4,76.5,6.5,3,21,31,0,0,0,122,0,0
9,86.6,61.4,78.2,5.7,7,32,31,0,0,0,120,0,0
3,31.1,24.3,77.0,3.2,4,18,40,0,0,0,87,0,0
8,78.4,36.5,81.0,3.2,5,20,40,0,0,0,79,0,0
13,158.3,53.6,82.8,5.4,5,28,118,0,0,0,126,0,0
23,351.9,65.8,85.3,5.3,2,14,33,0,0,0,132,0,0
13,268.8,79.7,83.2,7.4,4,15,22,0,0,0,96,0,0
5,32.5,11.9,78.3,8.9,4,17,35,0,0,0,79,0,0
7,58.8,20.9,77.8,7.6,6,20,41,0,0,0,106,0,0
13,187.7,64.9,81.8,6.7,10,22,44,0,0,0,104,0,0
18,370.8,83.7,82.3,5.9,19,32,65,0,0,0,128,0,0
15,198.8,42.8,82.1,5.3,4,19,47,0,0,0,146,0,0
18,259.2,55.8,81.8,5.1,6,19,32,0,0,0,99,0,0
18,195.0,35.5,85.4,4.6,10,22,28,0,0,0,109,0,0
17,258.2,52.0,84.1,4.5,5,18,36,0,0,0,106,0,0
20,222.7,32.4,82.3,5.0,8,23,41,0,0,0,101,0,0
11,107.2,57.5,81.9,4.6,6,24,42,0,0,0,121,0,0
22,463.4,84.4,88.5,3.1,3,14,36,0,0,0,126,0,0
19,193.9,52.5,88.3,3.9,4,18,16,0,0,0,101,0,0
9,67.4,32.1,82.4,6.7,18,17,25,0,0,0,107,0,0
16,181.4,52.4,87.5,4.3,30,21,96,0,0,0,113,0,0
14,88.5,29.2,82.6,5.8,26,21,32,0,0,0,91,0,0
13,157.1,42.8,84.4,5.7,34,37,52,0,0,0,137,0,0
13,103.4,34.5,81.9,6.0,2,29,37,0,0,0,135,0,0
11,225.4,51.4,82.7,6.8,4,32,33,0,0,0,110,0,0
13,204.0,42.4,84.1,5.7,6,30,31,0,0,0,117,0,0
13,125.9,41.5,81.7,6.5,5,23,33,0,0,0,106,0,0
20,205.0,32.8,84.6,4.7,5,34,56,0,0,0,89,0,0
19,241.5,39.0,84.4,4.7,5,46,61,0,0,0,126,0,0
17,340.5,76.9,85.3,4.1,3,27,41,0,0,0,155,0,0
14,275.2,127.6,86.9,4.0,3,17,18,0,0,0,78,0,0
18,237.8,39.9,86.5,5.8,4,19,26,0,0,0,114,0,0
15,238.3,37.9,85.8,5.8,5,27,69,0,0,0,127,0,0
20,311.6,87.4,85.6,5.3,4,18,38,0,0,0,103,0,0
10,96.8,36.7,82.4,6.8,6,23,69,0,0,0,136,0,0
16,157.5,41.7,84.3,4.6,4,15,43,0,0,0,127,0,0
12,116.1,34.6,82.6,6.5,4,22,32,0,0,0,123,0,0
18,113.5,28.1,83.8,5.1,4,25,30,0,0,0,104,0,0
12,81.1,25.7,82.2,6.2,9,31,36,0,0,0,100,0,0
14,120.9,38.3,82.1,4.0,12,36,29,0,0,0,76,0,0
21,385.7,72.0,87.1,3.7,7,41,51,0,0,0,102,0,0
18,236.0,45.8,87.6,4.2,9,36,50,0,0,0,134,0,0
21,425.8,125.4,87.4,4.4,6,22,22,72,63,0,95,0,0
11,86.6,28.2,83.6,4.8,6,19,40,59,58,0,80,0,0
20,297.3,41.1,84.5,5.4,7,28,52,76,77,0,139,0,0
18,203.3,68.9,86.0,5.3,5,21,37,76,70,0,105,0,0
12,164.9,56.1,85.0,6.0,7,27,52,83,69,0,123,0,0
11,137.1,49.6,82.5,4.9,5,19,36,82,76,0,146,0,0
9,111.3,44.8,80.8,8.1,5,19,39,92,82,0,122,0,0
14,158.3,36.6,83.7,4.9,7,25,50,83,91,0,116,0,0
13,162.0,74.3,82.3,6.2,5,20,59,82,69,0,127,0,0
20,252.2,77.2,83.7,4.4,5,21,33,56,55,0,88,0,0
15,175.3,102.6,84.9,3.7,8,28,46,80,55,0,126,0,0
20,609.0,211.1,86.8,4.5,6,18,55,92,76,0,163,0,0
11,221.2,83.8,83.6,6.9,7,17,20,64,60,0,77,0,0
2,50.8,41.7,80.9,7.4,6,20,23,67,59,0,97,0,0
8,55.6,26.4,80.8,7.6,6,26,50,91,81,0,145,0,0
13,116.5,39.4,82.3,6.6,6,25,29,72,62,0,82,0,0
13,236.6,75.9,82.3,6.2,8,41,57,89,70,0,117,0,0
12,83.1,45.8,82.1,6.3,3,20,67,84,70,0,124,0,0
